"Sample name","Sample accession","Lane name","Lane accession"
E5051,ERS055664,7114_1#17,ERR089739
E5052,ERS055665,7114_1#18,ERR089740
E5080,ERS055666,7114_1#19,ERR089741
E5081,ERS055667,7114_1#20,ERR089742
E5082,ERS055668,7114_1#21,ERR089743
E5084,ERS055669,7114_1#22,ERR089744
E5085,ERS055670,7114_1#23,ERR089745
E5086,ERS055671,7114_1#24,ERR089746
E5087,ERS055672,7114_1#25,ERR089747
E5088,ERS055673,7114_1#26,ERR089748
E_222CFn,ERS077576,7521_1#1,ERR119380
E_223CFn,ERS077577,7521_1#2,ERR119381
E_239CFn,ERS077578,7521_1#3,ERR119382
E_263CFn,ERS077579,7521_1#4,ERR119383
E_329CFn,ERS077580,7521_1#5,ERR119384
E_330CFn,ERS077581,7521_1#6,ERR119385
E_335CFn,ERS077582,7521_1#7,ERR119386
E_336CFn,ERS077583,7521_1#8,ERR119387
E_340CFn,ERS077584,7521_1#9,ERR119388
E_343CFn,ERS077585,7521_1#10,ERR119389
E_351CFn,ERS077586,7521_1#11,ERR119390
E_354CFn,ERS077587,7521_1#12,ERR119391
E_356CFn,ERS077588,7521_1#13,ERR119392
E_360CFn,ERS077589,7521_1#14,ERR119393
E_361CFn,ERS077590,7521_1#15,ERR119394
E_390CFn,ERS077591,7521_1#16,ERR119395
E_391CFn,ERS077592,7521_1#17,ERR119396
E_399CFn,ERS077593,7521_1#18,ERR119397
E_405CFn,ERS077594,7521_1#19,ERR119398
E_415CFn,ERS077595,7521_1#20,ERR119399
E_425CFn,ERS077596,7521_1#21,ERR119400
E_445CFn,ERS077597,7521_1#22,ERR119401
E_451CFn,ERS077598,7521_1#23,ERR119402
E_513CFn,ERS077600,7521_1#25,ERR119404
E_519CFn,ERS077601,7521_1#26,ERR119405
E_520CFn,ERS077602,7521_1#27,ERR119406
E_523CFn,ERS077603,7521_1#28,ERR119407
E_527CFn,ERS077604,7521_1#29,ERR119408
E_528CFn,ERS077605,7521_1#30,ERR119409
E_529CFn,ERS077606,7521_1#31,ERR119410
E_604CFn,ERS077607,7521_1#32,ERR119411
E_616CFn,ERS077608,7521_1#33,ERR119412
E_618CFn,ERS077609,7521_1#34,ERR119413
E_620CFn,ERS077610,7521_1#35,ERR119414
E_622CFn,ERS077612,7521_1#37,ERR119416
E_626CFn,ERS077613,7521_1#38,ERR119417
E_628CFn,ERS077614,7521_1#39,ERR119418
E_645CFn,ERS077615,7521_1#40,ERR119419
E_658CFn,ERS077616,7521_1#41,ERR119420
E_659CFn,ERS077617,7521_1#42,ERR119421
E_662CFn,ERS077618,7521_1#43,ERR119422
E_703CFn,ERS077619,7521_1#44,ERR119423
E_704CFn,ERS077620,7521_1#45,ERR119424
E_705CFn,ERS077621,7521_1#46,ERR119425
E_818CFn,ERS077624,7521_2#49,ERR119428
E_819CFn,ERS077625,7521_2#50,ERR119429
E_821CFn,ERS077626,7521_2#51,ERR119430
E_828CFn,ERS077627,7521_2#52,ERR119431
E_833CFn,ERS077628,7521_2#53,ERR119432
E_841CFn,ERS077629,7521_2#54,ERR119433
E_855CFn,ERS077630,7521_2#55,ERR119434
E_860CFn,ERS077631,7521_2#56,ERR119435
E_865CFn,ERS077632,7521_2#57,ERR119436
E_873CFn,ERS077633,7521_2#58,ERR119437
E_876CFn,ERS077634,7521_2#59,ERR119438
E_881CFn,ERS077635,7521_2#60,ERR119439
E_884CFn,ERS077637,7521_2#62,ERR119441
E_885CFn,ERS077638,7521_2#63,ERR119442
E_887CFn,ERS077639,7521_2#64,ERR119443
E_888CFn,ERS077640,7521_2#65,ERR119444
E_890CFn,ERS077641,7521_2#66,ERR119445
E_891CFn,ERS077642,7521_2#67,ERR119446
E_892CFn,ERS077643,7521_2#68,ERR119447
E_893CFn,ERS077644,7521_2#69,ERR119448
E_898CFn,ERS077645,7521_2#70,ERR119449
E_899CFn,ERS077646,7521_2#71,ERR119450
E_908CFn,ERS077648,7521_2#73,ERR119452
E_924CFn,ERS077649,7521_2#74,ERR119453
E_934CFn,ERS077651,7521_2#76,ERR119455
E_935CFn,ERS077652,7521_2#77,ERR119456
E_936CFn,ERS077653,7521_2#78,ERR119457
E_939CFn,ERS077654,7521_2#79,ERR119458
E_941CFn,ERS077655,7521_2#80,ERR119459
E_944CFn,ERS077656,7521_2#81,ERR119460
E_945CFn,ERS077657,7521_2#82,ERR119461
E_947CFn,ERS077658,7521_2#83,ERR119462
E_949CFn,ERS077659,7521_2#84,ERR119463
E_952CFn,ERS077660,7521_2#85,ERR119464
E_955CFn,ERS077661,7521_2#86,ERR119465
E_956CFn,ERS077662,7521_2#87,ERR119466
E_978CFn,ERS077664,7521_2#89,ERR119468
E_996CFn,ERS077665,7521_2#90,ERR119469
E_998CFn,ERS077666,7521_2#91,ERR119470
E_1057CFn,ERS077667,7521_2#92,ERR119471
E_1072CFn,ERS077668,7521_2#93,ERR119472
E_1101CFn,ERS077669,7521_2#94,ERR119473
E_1102CFn,ERS077670,7521_2#95,ERR119474
E_1167CFn,ERS077671,7521_2#96,ERR119475
E_1169CFn,ERS077672,7521_3#1,ERR119476
E_1193CFn,ERS077673,7521_3#2,ERR119477
E_1242CFn,ERS077674,7521_3#3,ERR119478
E_1248CFn,ERS077675,7521_3#4,ERR119479
E_1258CFn,ERS077676,7521_3#5,ERR119480
E_1264CFn,ERS077677,7521_3#6,ERR119481
E_1281CFn,ERS077678,7521_3#7,ERR119482
E_1282CFn,ERS077679,7521_3#8,ERR119483
E_1285CFn,ERS077680,7521_3#9,ERR119484
E_1352CFn,ERS077681,7521_3#10,ERR119485
E_1355CFn,ERS077682,7521_3#11,ERR119486
E_1356CFn,ERS077683,7521_3#12,ERR119487
E_1362CFn,ERS077685,7521_3#14,ERR119489
E_1365CFn,ERS077686,7521_3#15,ERR119490
E_1398CFn,ERS077687,7521_3#16,ERR119491
E_1407CFn,ERS077688,7521_3#17,ERR119492
E_1525CFn,ERS077692,7521_3#21,ERR119496
E_1526CFn,ERS077693,7521_3#22,ERR119497
E_1532CFn,ERS077694,7521_3#23,ERR119498
E_1533CFn,ERS077695,7521_3#24,ERR119499
E_1534CFn,ERS077696,7521_3#25,ERR119500
E_1542CFn,ERS077697,7521_3#26,ERR119501
E_1543CFn,ERS077698,7521_3#27,ERR119502
E_1544CFn,ERS077699,7521_3#28,ERR119503
E_1556CFn,ERS077700,7521_3#29,ERR119504
E_1561CFn,ERS077701,7521_3#30,ERR119505
E_1564CFn,ERS077702,7521_3#31,ERR119506
E_157CFn,ERS077703,7521_3#32,ERR119507
E_1573CFn,ERS077704,7521_3#33,ERR119508
E_1574CFn,ERS077705,7521_3#34,ERR119509
E_1576CFn,ERS077706,7521_3#35,ERR119510
E_1580CFn,ERS077707,7521_3#36,ERR119511
E_1581CFn,ERS077708,7521_3#37,ERR119512
E_1582CFn,ERS077709,7521_3#38,ERR119513
E_1585CFn,ERS077710,7521_3#39,ERR119514
E_1586CFn,ERS077711,7521_3#40,ERR119515
E_1587CFn,ERS077712,7521_3#41,ERR119516
E_159CFn,ERS077713,7521_3#42,ERR119517
E_1592CFn,ERS077714,7521_3#43,ERR119518
E_1594CFn,ERS077715,7521_3#44,ERR119519
E_1596CFn,ERS077716,7521_3#45,ERR119520
E_1597CFn,ERS077717,7521_3#46,ERR119521
E_1599CFn,ERS077718,7521_3#47,ERR119522
E160CFn,ERS077719,7521_3#48,ERR119523
E_1600CFn,ERS077720,7521_4#49,ERR119524
E_1604CFn,ERS077721,7521_4#50,ERR119525
E_1607CFn,ERS077722,7521_4#51,ERR119526
E_1609CFn,ERS077723,7521_4#52,ERR119527
E_1611CFn,ERS077724,7521_4#53,ERR119528
E_1615CFn,ERS077725,7521_4#54,ERR119529
E_1616CFn,ERS077726,7521_4#55,ERR119530
E_1617CFn,ERS077727,7521_4#56,ERR119531
E_1623CFn,ERS077728,7521_4#57,ERR119532
E_1625CFn,ERS077729,7521_4#58,ERR119533
E_1628CFn,ERS077730,7521_4#59,ERR119534
E_1634CFn,ERS077731,7521_4#60,ERR119535
E_1637CFn,ERS077732,7521_4#61,ERR119536
E_1638CFn,ERS077733,7521_4#62,ERR119537
E_1640CFn,ERS077734,7521_4#63,ERR119538
E_1641CFn,ERS077735,7521_4#64,ERR119539
E_1642CFn,ERS077736,7521_4#65,ERR119540
E_1647CFn,ERS077737,7521_4#66,ERR119541
E_1648CFn,ERS077738,7521_4#67,ERR119542
E_1650CFn,ERS077739,7521_4#68,ERR119543
E_1659CFn,ERS077740,7521_4#69,ERR119544
E_1661CFn,ERS077741,7521_4#70,ERR119545
E_1666CFn,ERS077742,7521_4#71,ERR119546
E_167CFn,ERS077743,7521_4#72,ERR119547
E_1673CFn,ERS077744,7521_4#73,ERR119548
E_1674CFn,ERS077745,7521_4#74,ERR119549
E_1682CFn,ERS077747,7521_4#76,ERR119551
E_1684CFn,ERS077748,7521_4#77,ERR119552
E_1690CFn,ERS077749,7521_4#78,ERR119553
E_1712CFn,ERS077750,7521_4#79,ERR119554
E_1735CFn,ERS077751,7521_4#80,ERR119555
E_1736CFn,ERS077752,7521_4#81,ERR119556
E_1739CFn,ERS077753,7521_4#82,ERR119557
E_1744CFn,ERS077754,7521_4#83,ERR119558
E_1752CFn,ERS077755,7521_4#84,ERR119559
E_1871CFn,ERS077756,7521_4#85,ERR119560
E_1961CFn,ERS077757,7521_4#86,ERR119561
E_2108CFn,ERS077758,7521_4#87,ERR119562
E_2110CFn,ERS077759,7521_4#88,ERR119563
E_2121CFn,ERS077760,7521_4#89,ERR119564
E2367CFn,ERS077762,7521_4#91,ERR119566
E2371CFn,ERS077764,7521_4#93,ERR119568
E2377CFn,ERS077765,7521_4#94,ERR119569
E2388CFn,ERS077766,7521_4#95,ERR119570
E2392CFn,ERS077767,7521_4#96,ERR119571
503311_aEPEC,ERS085430,7553_7#61,ERR124653
503947_aEPEC,ERS085431,7553_7#62,ERR124654
505393_aEPEC,ERS085432,7553_7#63,ERR124655
505513_aEPEC,ERS085433,7553_7#64,ERR124656
401480_aEPEC,ERS085434,7553_7#65,ERR124657
200781_aEPEC,ERS085435,7553_7#66,ERR124658
202521_aEPEC,ERS085436,7553_7#67,ERR124659
