"Lane","Phylogroup"
"28099_1_278","A"
"28099_1_280","A"
"28099_1_281","B1"
"28099_1_282","A"
"28099_1_284","A"
"28099_1_285","A"
"28099_1_286","A"
"28099_1_288","C"
"28099_1_289","A"
"28099_1_293","B2"
"28099_1_294","B2"
"28099_1_297","A"
"28099_1_30","C"
"28099_1_300","B2"
"28099_1_301","A"
"28099_1_302","B1"
"28099_1_303","B1"
"28099_1_305","B2"
"28099_1_306","A"
"28099_1_307","D"
"28099_1_309","B2"
"28099_1_31","A"
"28099_1_311","A"
"28099_1_313","D"
"28099_1_314","C"
"28099_1_317","A"
"28099_1_318","C"
"28099_1_319","F"
"28099_1_321","F"
"28099_1_322","B2"
"28099_1_323","F"
"28099_1_325","F"
"28099_1_326","C"
"28099_1_327","C"
"28099_1_330","A"
"28099_1_331","A"
"28099_1_333","B2"
"28099_1_334","C"
"28099_1_337","C"
"28099_1_338","C"
"28099_1_34","F"
"28099_1_341","A"
"28099_1_342","B2"
"28099_1_343","B1"
"28099_1_345","A"
"28099_1_346","A"
"28099_1_349","A"
"28099_1_35","A"
"28099_1_350","F"
"28099_1_351","B2"
"28099_1_353","A"
"28099_1_354","B2"
"28099_1_355","D"
"28099_1_357","B2"
"28099_1_358","A"
"28099_1_359","B1"
"28099_1_361","A"
"28099_1_362","A"
"28099_1_363","F"
"28099_1_365","B2"
"28099_1_366","A"
"28099_1_367","C"
"28099_1_370","B2"
"28099_1_371","D"
"28099_1_373","A"
"28099_1_374","D"
"28099_1_375","B2"
"28099_1_377","A"
"28099_1_378","C"
"28099_1_379","F"
"28099_1_38","B1"
"28099_1_381","A"
"28099_1_382","F"
"28099_1_383","F"
"28099_1_39","B1"
"28099_1_41","A"
"28099_1_42","A"
"28099_1_43","F"
"28099_1_46","A"
"28099_1_47","A"
"28099_1_49","C"
"28099_1_50","A"
"28099_1_51","B2"
"28099_1_53","A"
"28099_1_54","A"
"28099_1_55","B2"
"28099_1_57","B2"
"28099_1_58","A"
"28099_1_59","F"
"28099_1_61","A"
"28099_1_62","A"
"28099_1_63","B1"
"28099_1_65","B2"
"28099_1_66","A"
"28099_1_69","A"
"28099_1_7","C"
"28099_1_70","D"
"28099_1_71","A"
"28099_1_73","D"
"28099_1_74","B2"
"28099_1_75","F"
"28099_1_77","B1"
"28099_1_78","A"
"28099_1_79","C"
"28099_1_81","A"
"28099_1_82","F"
"28099_1_83","D"
"28099_1_85","C"
"28099_1_86","B1"
"28099_1_87","B1"
"28099_1_89","C"
"28099_1_90","A"
"28099_1_91","B2"
"28099_1_93","A"
"28099_1_94","Unknown"
"28099_1_95","B2"
"28099_1_98","A"
"28099_1_99","B2"
"28099_2_105","C"
"28099_2_109","A"
"28099_2_113","A"
"28099_2_117","B2"
"28099_2_12","B2"
"28099_2_121","A"
"28099_2_126","B2"
"28099_2_130","A"
"28099_2_142","A"
"28099_2_146","A"
"28099_2_150","A"
"28099_2_158","A"
"28099_2_162","F"
"28099_2_166","B1"
"28099_2_170","B2"
"28099_2_186","B1"
"28099_2_190","F"
"28099_2_194","D"
"28099_2_198","D"
"28099_2_206","A"
"28099_2_210","A"
"28099_2_215","B2"
"28099_2_219","B2"
"28099_2_223","B1"
"28099_2_227","A"
"28099_2_231","D"
"28099_2_235","B2"
"28099_2_239","A"
"28099_2_24","A"
"28099_2_243","F"
"28099_2_247","F"
"28099_2_251","Unknown"
"28099_2_255","B2"
