"Sample name","Sample accession","Lane name","Lane accession"
SKP000752,ERS011860,5193_6#7,ERR025523
SKP000532,ERS011861,5193_6#8,ERR025524
SKP000533,ERS011862,5193_6#9,ERR025525
SKP000534,ERS011863,5193_6#10,ERR025515
SKP000535,ERS011864,5193_6#11,ERR025516
SKP000536,ERS011865,5193_6#12,ERR025517
SKP000602,ERS011878,5193_7#1,ERR025527
SKP000608,ERS011879,5193_7#2,ERR025531
SKP000613,ERS011880,5193_7#3,ERR025532
SKP000616,ERS011882,5193_7#5,ERR025534
SKP000619,ERS011883,5193_7#6,ERR025535
SKP000754,ERS011884,5193_7#7,ERR025536
SKP000627,ERS011885,5193_7#8,ERR025537
SKP000629,ERS011886,5193_7#9,ERR025538
SKP000638,ERS011887,5193_7#10,ERR025528
SKP000724,ERS011902,5193_8#1,ERR025540
SKP000725,ERS011903,5193_8#2,ERR025544
SKP000726,ERS011904,5193_8#3,ERR025545
SKP000727,ERS011905,5193_8#4,ERR025546
SKP000729,ERS011906,5193_8#5,ERR025547
SKP000730,ERS011907,5193_8#6,ERR025548
SKP000756,ERS011908,5193_8#7,ERR025549
SKP000732,ERS011909,5193_8#8,ERR025550
SKP000733,ERS011910,5193_8#9,ERR025551
SKP000734,ERS011911,5193_8#10,ERR025541
SKP000735,ERS011912,5193_8#11,ERR025542
SKP000736,ERS011913,5193_8#12,ERR025543
SKP000367,ERS011818,5197_2#1,ERR025553
SKP000372,ERS011819,5197_2#2,ERR025557
SKP000378,ERS011820,5197_2#3,ERR025558
SKP000381,ERS011821,5197_2#4,ERR025559
SKP000389,ERS011822,5197_2#5,ERR025560
SKP000394,ERS011823,5197_2#6,ERR025561
SKP000396,ERS011825,5197_2#7,ERR025562
SKP000750,ERS011824,5197_2#8,ERR025563
SKP000404,ERS011826,5197_2#9,ERR025564
SKP000412,ERS011827,5197_2#10,ERR025554
SKP000413,ERS011828,5197_2#11,ERR025555
SKP000417,ERS011829,5197_2#12,ERR025556
SKP000537,ERS011866,5197_7#1,ERR025566
SKP000541,ERS011867,5197_7#2,ERR025570
SKP000550,ERS011868,5197_7#3,ERR025571
SKP000556,ERS011869,5197_7#4,ERR025572
SKP000569,ERS011870,5197_7#5,ERR025573
SKP000571,ERS011871,5197_7#6,ERR025574
SKP000753,ERS011872,5197_7#7,ERR025575
SKP000577,ERS011873,5197_7#8,ERR025576
SKP000659,ERS011891,5197_8#2,ERR025583
SKP000663,ERS011892,5197_8#3,ERR025584
SKP000673,ERS011893,5197_8#4,ERR025585
SKP000680,ERS011894,5197_8#5,ERR025586
SKP000688,ERS011895,5197_8#6,ERR025587
SKP000755,ERS011896,5197_8#7,ERR025588
SKP000692,ERS011897,5197_8#8,ERR025589
SKP000710,ERS011900,5197_8#11,ERR025581
SKP000808,ERS011974,5235_1#1,ERR025592
SKP000809,ERS011975,5235_1#2,ERR025596
SKP000810,ERS011976,5235_1#3,ERR025597
SKP000811,ERS011977,5235_1#4,ERR025598
SKP000812,ERS011978,5235_1#5,ERR025599
SKP000813,ERS011979,5235_1#6,ERR025600
SKP000814,ERS011980,5235_1#7,ERR025601
SKP000815,ERS011981,5235_1#8,ERR025602
SKP000816,ERS011982,5235_1#9,ERR025603
SKP000817,ERS011983,5235_1#10,ERR025593
SKP000818,ERS011984,5235_1#11,ERR025594
SKP000819,ERS011985,5235_1#12,ERR025595
SKP000820,ERS011986,5235_2#1,ERR025605
SKP000821,ERS011987,5235_2#2,ERR025609
SKP000822,ERS011988,5235_2#3,ERR025610
SKP000823,ERS011989,5235_2#4,ERR025611
SKP000824,ERS011990,5235_2#5,ERR025612
SKP000825,ERS011991,5235_2#6,ERR025613
SKP000826,ERS011992,5235_2#7,ERR025614
SKP000827,ERS011993,5235_2#8,ERR025615
SKP000830,ERS011996,5235_2#11,ERR025607
SKP000831,ERS011997,5235_2#12,ERR025608
SKP000832,ERS011998,5235_3#1,ERR025618
SKP000833,ERS011999,5235_3#2,ERR025622
SKP000835,ERS012001,5235_3#4,ERR025624
SKP000836,ERS012002,5235_3#5,ERR025625
SKP000838,ERS012004,5235_3#7,ERR025627
SKP000839,ERS012005,5235_3#8,ERR025628
SKP000843,ERS012008,5235_3#11,ERR025620
SKP000847,ERS012009,5235_3#12,ERR025621
SKP000848,ERS012010,5235_5#1,ERR025631
SKP000849,ERS012011,5235_5#2,ERR025635
SKP000850,ERS012012,5235_5#3,ERR025636
SKP000852,ERS012014,5235_5#5,ERR025638
SKP000854,ERS012017,5235_5#8,ERR025641
SKP000857,ERS012020,5235_5#11,ERR025633
SKP000859,ERS012022,5235_6#1,ERR025644
SKP000860,ERS012023,5235_6#2,ERR025648
SKP000861,ERS012024,5235_6#3,ERR025649
SKP000863,ERS012026,5235_6#5,ERR025651
SKP000864,ERS012027,5235_6#6,ERR025652
SKP000844,ERS012028,5235_6#7,ERR025653
SKP000865,ERS012029,5235_6#8,ERR025654
SKP000866,ERS012030,5235_6#9,ERR025655
SKP000867,ERS012031,5235_6#10,ERR025645
SKP000868,ERS012032,5235_6#11,ERR025646
SKP000869,ERS012033,5235_6#12,ERR025647
SKP000870,ERS012034,5235_7#1,ERR025657
SKP000871,ERS012035,5235_7#2,ERR025661
SKP000872,ERS012036,5235_7#3,ERR025662
SKP000873,ERS012037,5235_7#4,ERR025663
SKP000874,ERS012038,5235_7#5,ERR025664
SKP000876,ERS012041,5235_7#8,ERR025667
SKP000877,ERS012042,5235_7#9,ERR025668
SKP000878,ERS012043,5235_7#10,ERR025658
SKP000879,ERS012044,5235_7#11,ERR025659
SKP000880,ERS012045,5235_7#12,ERR025660
SKP000112,ERS011784,5235_8#2,ERR025673
SKP000121,ERS011785,5235_8#3,ERR025674
SKP000122,ERS011786,5235_8#4,ERR025675
SKP000129,ERS011787,5235_8#5,ERR025676
SKP000747,ERS011788,5235_8#6,ERR025677
SKP000136,ERS011789,5235_8#7,ERR025678
SKP000139,ERS011790,5235_8#8,ERR025679
SKP000140,ERS011791,5235_8#9,ERR025680
SKP000162,ERS011792,5235_8#10,ERR025671
SKP000796,ERS011962,5299_1#1,ERR025979
SKP000797,ERS011963,5299_1#2,ERR025983
SKP000798,ERS011964,5299_1#3,ERR025984
SKP000799,ERS011965,5299_1#4,ERR025985
SKP000800,ERS011966,5299_1#5,ERR025986
SKP000802,ERS011968,5299_1#7,ERR025988
SKP000803,ERS011969,5299_1#8,ERR025989
SKP000804,ERS011970,5299_1#9,ERR025990
SKP000805,ERS011971,5299_1#10,ERR025980
SKP000806,ERS011972,5299_1#11,ERR025981
SKP000807,ERS011973,5299_1#12,ERR025982
SKP000881,ERS012046,5299_7#1,ERR025992
SKP000882,ERS012047,5299_7#2,ERR025994
SKP000883,ERS012048,5299_7#3,ERR025995
SKP000884,ERS012049,5299_7#4,ERR025996
SKP000885,ERS012050,5299_7#5,ERR025997
SKP000886,ERS012051,5299_7#6,ERR025998
SKP000846,ERS012052,5299_7#7,ERR025999
